File,Context,Folder,Title,Error
"memoryxtend-rocksdb-ssd.html","...or <a href=""https://cassandra.apache.org...","C:\NEW_GH\xap-docs\site-flare\Content\admin\",,""
"archive-container.html","...torage (for example Cassandra).</p>...","C:\NEW_GH\xap-docs\site-flare\Content\dev-java\",,""
"cassandra.html",".../head>
<body>
<h1>Cassandra Integratio...","C:\NEW_GH\xap-docs\site-flare\Content\dev-java\",,""
"cassandra-archive-operation-handler.html","...red to work against Cassandra (without w...","C:\NEW_GH\xap-docs\site-flare\Content\dev-java\",,""
"cassandra-hector-client.html","...communicating with Cassandra.</p>

<p...","C:\NEW_GH\xap-docs\site-flare\Content\dev-java\",,""
"cassandra-space-data-source.html","...</h1>
        <p>A Cassandra based impl...","C:\NEW_GH\xap-docs\site-flare\Content\dev-java\",,""
"cassandra-space-persistency.html","...<body>
        <h1>Cassandra Persistenc...","C:\NEW_GH\xap-docs\site-flare\Content\dev-java\",,""
"cassandra-space-synchronization-endpoint.html","...</h1>
        <p>A Cassandra based impl...","C:\NEW_GH\xap-docs\site-flare\Content\dev-java\",,""
"persistency-migrating-hibernate.html","...RDBMS. The <a href=""cassandra-space-pers...","C:\NEW_GH\xap-docs\site-flare\Content\dev-java\",,""
"space-data-source-api.html","...shion (For example_ Cassandra) where no...","C:\NEW_GH\xap-docs\site-flare\Content\dev-java\",,""
"space-persistency-overview.html","...<p>The <a href=""cassandra-space-pers...","C:\NEW_GH\xap-docs\site-flare\Content\dev-java\",,""
"space-synchronization-endpoint-api.html","...lt in Hibernate and Cassandra implementa...","C:\NEW_GH\xap-docs\site-flare\Content\dev-java\",,""
"third-party.html","...ft""><a href=""http://cassandra.apache.org...","C:\NEW_GH\xap-docs\site-flare\Content\rn\",,""
"gigaspaces-cassandra.html","....ProductNameXAP"" />-Cassandra Integratio...","C:\NEW_GH\xap-docs\site-flare\Content\solution-hub\",,""
"xap-tutorial-part4.html","...torage (for example Cassandra). The typi...","C:\NEW_GH\xap-docs\site-flare\Content\started\",,""
"xap-tutorial-part7.html","...port for Hibernate_ Cassandra and MongoD...","C:\NEW_GH\xap-docs\site-flare\Content\started\",,""
